"id","nazwa","facebook_id","isPublic"
"350","W Trzech Osobach","568159116656893","0"
"351","Dział Plastyki Nieprofesjonalnej, Muzeum Śląskie w Katowicach","577770068955391","1"
"352","Centrum Zimbardo w Nikiszowcu","583086581769624","0"
"353","PLAC NA GLANC","583594258388635","0"
"354","Rajza po Kato","593107890779070","0"
"355","Dwie Lewe Ręce","607219609295662","0"
"356","Teatralny Crash Test","613530082161019","0"
"357","Adam Hagno","616649005186508","0"
"358","Katowice- z drugiej strony","618715684816010","0"
"359","Kontener Cooltury","618994071500740","0"
"360","PLONS.pl","622321221207326","0"
"361","Pracownia Grafiki Edytorskiej ASP Katowice","622453491103784","1"
"362","Kino Letnie Antyradia","623789321129783","0"
"363","ON Festiwal","628356310598680","0"
"364","Irena Winder","644492249066004","0"
"365","Grzegorz Wańczyk","644793105645644","0"
"366","Lennie Boycott","646420832081822","0"
"367","Miejska Biblioteka Publiczna w Katowicach, Filia nr 6","652088091481014","1"
"368","stacja KATOWICE","656450124400816","0"
"369","Rondo Sztuki","65815660372","1"
"370","OFF Festival","65835432207","0"
"371","Miejski Dom Kultury \"Szopienice - Giszowiec\" w Katowicach","673029782750341","1"
"372","Gruba, Śląski kolektyw ludzi kreatywnych","676178732493777","0"
"373","SILESIA BAZAAR","685496398197236","0"
"374","Miejska Biblioteka Publiczna w Katowicach Filia 22 Bogucice Os. Kukuczki","697026830339019","1"
"375","Katowice - koncerty, spektakle teatralne, kabarety i imprezy","704992666189155","0"
"376","Daniel Orzadowski","705652959593700","0"
"377","Gabriela Luboń","707354709423019","0"
"378","Red Bull Music Academy","70898963216","0"
"379","Metal Mind Productions","71063596068","0"
"380","Mariusz Noelle","712242765595643","0"
"381","Festiwal Nowej Scenografii","715706695212666","1"
"382","SXL","716462681703706","0"
"383","Ultras Naprzód Janów","752537274803737","0"
"384","Kołakowski:Wykpisz:Korelus","775739855879551","0"
"385","Wrotka Katowice","782272801873244","0"
"386","Orkiestra Dęta Katowice","783207945107484","0"
"387","infoKatowice.pl","791921324151378","0"
"388","Portal RodzinaZdrowia.pl","813265555465491","0"
"389","Oddział Grafiki im. Pawła Stellera - Muzeum Historii Katowic","825072777624299","1"
"390","Katowice - wydarzysie.pl","828399620613170","0"
"391","Przegrałem życie z Doctor Who","845326112169901","0"
"392","Inicjatywa Warszawska","848785058511605","0"
"393","Metalmaniapl","867678083332612","0"
"394","Wiewióra","874990539221191","0"
"395","Katoteka","878628845520372","0"
"396","Ogrody społeczne","896163923837747","0"
"397","KINO ASP w Katowicach","896577143796205","1"
"398","Towarzystwo Urbanistów Polskich Oddział w Katowicach","896930897021875","0"
"399","Kontenery Kultury","907066062669476","0"
"400","Teatr_ Żelazny","910590642353279","0"
"401","ultramaryna","91481778529","0"
"402","Forum Literackie. Katowice","927647810646573","0"
"403","Disco Attack","930155240341420","0"
"404","Lód 9","934376653312648","0"
"405","Stowarzyszenie na rzecz powstania Muzeum Hutnictwa Cynku w Katowicach","940268725984844","0"
"406","FOOD FEST","944513032291742","0"
"407","Film po ciężkim dniu","946022558771679","0"
"408","Galeria Sztuki 4Art","960852773977294","0"
"409","Czyste powietrze","960880087302208","0"
"410","Fest Design 2016 design&science","992717430775015","0"
"411","Dzielnica Brzmi Dobrze","995118787209916","1"
